momentum_lbw,momentum_th,SSO_smoothing_factor,volume_trigger_duration,volume_power,sharpe,returns
1,0.05,1,1,1,-0.197666667,-0.061148148
1,0.05,1,1,2,0.165259259,0.028740741
1,0.05,1,1,3,0.140222222,0.01937037
1,0.05,1,1,4,0.049555556,0.019333333
1,0.05,1,1,5,-0.022037037,0.013222222
1,0.05,1,9,1,-0.718888889,-0.299037037
1,0.05,1,9,2,-0.32,-0.113888889
1,0.05,1,9,3,-0.214037037,-0.053962963
1,0.05,1,9,4,-0.199074074,-0.025481481
1,0.05,1,9,5,-0.223222222,-0.018333333
1,0.05,1,17,1,-0.786851852,-0.329333333
1,0.05,1,17,2,-0.61862963,-0.237518519
1,0.05,1,17,3,-0.537333333,-0.178444444
1,0.05,1,17,4,-0.488777778,-0.122407407
1,0.05,1,17,5,-0.48637037,-0.101888889
1,0.05,1,25,1,-0.810851852,-0.345777778
1,0.05,1,25,2,-0.764074074,-0.319851852
1,0.05,1,25,3,-0.579814815,-0.221740741
1,0.05,1,25,4,-0.54,-0.179037037
1,0.05,1,25,5,-0.555407407,-0.151074074
1,0.05,2,1,1,-0.206037037,-0.063333333
1,0.05,2,1,2,-0.010407407,-0.013185185
1,0.05,2,1,3,-0.039296296,-0.014592593
1,0.05,2,1,4,0.009185185,-0.003148148
1,0.05,2,1,5,-0.058296296,-0.00637037
1,0.05,2,9,1,-0.599592593,-0.240888889
1,0.05,2,9,2,-0.393296296,-0.139481481
1,0.05,2,9,3,-0.362259259,-0.08737037
1,0.05,2,9,4,-0.305666667,-0.053888889
1,0.05,2,9,5,-0.28937037,-0.033296296
1,0.05,2,17,1,-0.609074074,-0.252666667
1,0.05,2,17,2,-0.515148148,-0.215925926
1,0.05,2,17,3,-0.513,-0.182111111
1,0.05,2,17,4,-0.459962963,-0.132222222
1,0.05,2,17,5,-0.455888889,-0.109592593
1,0.05,2,25,1,-0.621481481,-0.257888889
1,0.05,2,25,2,-0.566592593,-0.238962963
1,0.05,2,25,3,-0.458851852,-0.179814815
1,0.05,2,25,4,-0.508185185,-0.169925926
1,0.05,2,25,5,-0.492296296,-0.142851852
1,0.05,3,1,1,-0.200222222,-0.137888889
1,0.05,3,1,2,-0.195518519,-0.103740741
1,0.05,3,1,3,-0.130851852,-0.041777778
1,0.05,3,1,4,-0.138037037,-0.025296296
1,0.05,3,1,5,-0.104296296,-0.014555556
1,0.05,3,9,1,-0.655777778,-0.341814815
1,0.05,3,9,2,-0.432592593,-0.244111111
1,0.05,3,9,3,-0.369777778,-0.176296296
1,0.05,3,9,4,-0.371444444,-0.098666667
1,0.05,3,9,5,-0.357592593,-0.077444444
1,0.05,3,17,1,-0.657555556,-0.332
1,0.05,3,17,2,-0.616296296,-0.308666667
1,0.05,3,17,3,-0.572407407,-0.27262963
1,0.05,3,17,4,-0.570703704,-0.165333333
1,0.05,3,17,5,-0.47162963,-0.129555556
1,0.05,3,25,1,-0.68662963,-0.345592593
1,0.05,3,25,2,-0.655333333,-0.322666667
1,0.05,3,25,3,-0.536925926,-0.271444444
1,0.05,3,25,4,-0.613333333,-0.19537037
1,0.05,3,25,5,-0.518592593,-0.159777778
1,0.05,4,1,1,-0.309111111,-0.172222222
1,0.05,4,1,2,-0.138962963,-0.050481481
1,0.05,4,1,3,-0.166407407,0.023481481
1,0.05,4,1,4,-0.182592593,0.041074074
1,0.05,4,1,5,-0.156666667,0.050222222
1,0.05,4,9,1,-0.62037037,-0.29
1,0.05,4,9,2,-0.419740741,-0.189185185
1,0.05,4,9,3,-0.316444444,-0.122962963
1,0.05,4,9,4,-0.351592593,-0.034481481
1,0.05,4,9,5,-0.29362963,-0.009074074
1,0.05,4,17,1,-0.606777778,-0.278925926
1,0.05,4,17,2,-0.592888889,-0.325333333
1,0.05,4,17,3,-0.582259259,-0.286222222
1,0.05,4,17,4,-0.570296296,-0.174666667
1,0.05,4,17,5,-0.484111111,-0.134074074
1,0.05,4,25,1,-0.592148148,-0.287777778
1,0.05,4,25,2,-0.582962963,-0.429777778
1,0.05,4,25,3,-0.48062963,-0.373592593
1,0.05,4,25,4,-0.518814815,-0.288222222
1,0.05,4,25,5,-0.497444444,-0.254259259
1,0.12,1,1,1,0.090333333,0.037481481
1,0.12,1,1,2,0.33362963,0.082259259
